day,month,year,Egypt,Ecuador,Indonesia,Turkey,Switzerland,Austria,Israel,Hungary,Greece,Bangladesh,SaudiArabia,SouthAfrica,Argentina,Ukraine,Singapore,Germany
1,3,2020,1,6,0,0,9,5,1,0,3,0,0,0,0,0,4,51
2,3,2020,0,0,2,0,15,4,5,0,0,0,1,0,0,0,2,29
3,3,2020,0,1,0,0,14,3,3,0,0,0,0,0,1,1,2,37
4,3,2020,0,3,0,0,34,8,0,2,2,0,0,0,0,0,0,66
5,3,2020,1,3,0,0,24,12,6,0,22,0,4,1,0,0,7,220
6,3,2020,12,0,2,0,100,14,16,0,14,0,0,0,1,0,13,188
7,3,2020,0,0,0,0,54,24,10,2,1,0,0,0,6,0,8,129
8,3,2020,34,1,2,0,69,25,9,3,27,3,6,2,4,0,12,241
9,3,2020,6,1,13,0,37,27,4,2,0,0,4,0,0,0,0,136
10,3,2020,4,0,8,0,117,51,28,0,16,0,5,4,5,0,10,281
11,3,2020,1,2,7,1,161,64,0,4,10,0,1,6,2,0,18,451
12,3,2020,7,0,0,0,0,56,21,0,0,0,24,4,0,0,0,170
13,3,2020,13,0,35,4,487,202,31,6,91,0,41,7,12,2,22,1597
14,3,2020,29,11,27,0,220,151,26,11,38,0,17,14,3,0,12,910
15,3,2020,1,0,21,1,841,205,39,2,103,2,0,13,11,0,14,1210
16,3,2020,40,9,17,12,0,158,74,7,0,3,15,11,11,4,17,1477
17,3,2020,46,21,38,29,500,314,44,11,56,2,53,0,12,7,23,1985
18,3,2020,0,53,55,51,328,314,76,8,31,4,0,54,11,0,47,3070
19,3,2020,60,88,84,94,1047,367,15,15,0,3,103,34,18,2,32,2993
20,3,2020,29,168,58,167,1219,375,242,12,77,3,70,52,31,13,40,4528
21,3,2020,9,139,81,311,1281,426,215,18,35,5,48,38,30,18,47,2365
22,3,2020,33,283,64,566,899,768,237,28,94,2,119,34,108,26,23,2660
23,3,2020,39,192,65,293,1321,892,169,36,71,6,51,128,35,0,54,4183
24,3,2020,36,101,107,343,1082,809,102,20,48,6,205,152,86,24,49,3930
25,3,2020,54,91,104,561,1020,305,1117,39,78,0,133,155,0,48,73,4337
26,3,2020,39,230,103,1196,914,1321,520,35,71,5,112,218,115,51,52,6615
27,3,2020,41,192,153,2069,1117,748,433,39,74,4,92,243,87,114,49,6933
28,3,2020,40,228,109,1704,1148,614,480,43,95,0,99,17,101,46,70,6824
29,3,2020,33,101,130,1815,753,517,532,65,95,0,96,93,55,119,42,4400
30,3,2020,47,38,129,1610,1093,830,546,39,56,1,154,46,75,73,35,4790
31,3,2020,54,278,114,2704,683,562,738,45,102,2,110,27,234,97,47,4923
1,4,2020,69,508,149,2148,1163,531,696,33,101,3,157,27,0,149,74,6064
2,4,2020,86,415,113,2456,1059,418,719,60,129,2,165,82,79,103,49,6922
3,4,2020,120,205,196,2786,779,395,597,38,69,5,154,43,132,175,65,6365
4,4,2020,85,97,106,3013,899,257,428,55,60,9,140,80,186,153,75,4933
5,4,2020,103,181,181,3135,595,270,583,55,62,18,223,70,0,83,120,4031
6,4,2020,149,101,218,3148,557,246,451,11,20,35,203,31,103,11,66,3251
7,4,2020,128,0,247,3892,596,342,377,73,77,41,190,63,74,143,106,4289
8,4,2020,110,703,218,4117,1027,303,338,78,52,54,137,96,87,206,142,5633
9,4,2020,139,515,337,4056,771,302,343,85,71,112,355,89,80,224,287,4885
10,4,2020,95,2196,219,4747,500,311,358,210,56,94,364,69,180,311,198,3990
11,4,2020,145,96,330,5138,556,251,345,120,70,58,382,25,0,308,191,2737
12,4,2020,126,209,399,4789,308,139,552,100,33,139,429,145,167,266,233,2946
13,4,2020,125,63,316,4093,273,96,438,48,31,182,472,99,66,325,386,2218
14,4,2020,160,74,282,4062,248,185,399,54,25,209,435,143,69,270,334,1287
15,4,2020,155,255,297,4281,400,110,311,67,22,219,493,91,166,392,447,3394
16,4,2020,168,367,380,4801,396,140,296,73,15,341,518,99,128,397,728,2945
17,4,2020,171,225,407,4353,346,119,298,111,17,266,762,178,98,501,623,3699
18,4,2020,188,572,325,3783,326,76,291,71,11,306,1132,251,89,444,942,1945
19,4,2020,112,446,327,3977,336,78,276,82,0,312,1088,124,81,343,596,1842
20,4,2020,189,660,185,4674,204,46,299,68,10,492,1122,142,102,261,1426,1881
21,4,2020,157,270,375,4611,119,78,282,114,156,434,1147,165,90,415,1111,1226
22,4,2020,169,452,283,3083,205,52,225,70,7,390,1141,170,113,467,1016,2357
23,4,2020,232,333,357,3116,228,77,276,116,55,414,1158,318,291,578,1037,2481
24,4,2020,201,11536,436,3122,181,69,248,159,27,503,1172,267,172,477,897,1870
25,4,2020,227,0,396,2861,217,77,159,0,16,309,1197,141,173,478,618,1514
26,4,2020,215,0,275,2357,167,77,83,57,11,418,1223,185,112,492,931,1257
27,4,2020,248,521,214,2131,103,49,128,83,17,497,1289,247,111,392,799,988
28,4,2020,260,1018,415,2392,100,83,159,66,32,549,1266,203,124,401,528,1154
29,4,2020,226,417,260,2936,143,45,82,78,10,641,1325,354,158,456,690,1627
30,4,2020,269,259,347,2615,179,50,142,48,15,564,1351,297,143,540,528,1470
1,5,2020,358,1402,433,2188,119,79,116,88,21,571,1344,304,104,455,932,1068
2,5,2020,298,1128,292,1983,112,27,57,79,8,552,1362,385,149,550,447,890
3,5,2020,272,2074,349,1670,88,39,27,56,6,665,1552,447,102,502,657,697
4,5,2020,348,2343,395,1614,76,24,53,37,6,688,1645,437,104,418,573,488
5,5,2020,388,0,484,1832,28,29,32,30,10,786,1595,352,133,366,632,855
6,5,2020,387,0,367,2253,51,34,65,46,21,790,1687,236,188,487,788,1155
7,5,2020,393,0,338,1977,66,68,61,39,15,706,1793,424,163,507,741,1268
8,5,2020,495,0,336,1848,81,22,33,28,13,709,1701,663,240,504,768,1158
9,5,2020,488,253,533,1546,44,59,19,35,19,636,1704,525,165,515,753,736
10,5,2020,436,488,387,1542,54,38,29,50,6,887,1912,595,258,522,876,555
11,5,2020,346,0,233,1114,39,11,39,21,10,1034,1966,637,244,416,486,697
12,5,2020,347,910,484,1704,36,79,23,29,18,969,1911,698,285,375,849,595
13,5,2020,338,67,689,1639,33,36,39,28,16,1162,1905,724,316,402,675,927
14,5,2020,398,16,568,1635,50,61,22,39,10,1041,2039,665,255,422,752,380
15,5,2020,399,965,490,1708,51,51,12,37,40,1202,2307,785,345,483,793,755
16,5,2020,491,1296,529,1610,58,92,5,56,9,930,2840,831,326,528,465,519
17,5,2020,510,419,489,1368,15,41,15,36,15,1273,2736,1160,263,433,682,617
