testscore,attend,gpa,act,attendact,gpaact
54.7269,84.375,2.6400001,0,0,0
50.5252,68.75,3.52,1,68.75,3.52
58.9286,93.75,2.46,1,93.75,2.46
52.6261,96.875,2.6099999,0,0,0
67.3319,100,3.3199999,0,0,0
48.4244,90.625,2.9300001,1,90.625,2.9300001
16.9118,93.75,1.9400001,0,0,0
67.3319,81.25,2.1199999,0,0,0
50.5252,75,2.0599999,1,75,2.0599999
50.5252,90.625,2.73,0,0,0
52.6261,93.75,2.29,0,0,0
42.1218,59.375,2.29,1,59.375,2.29
52.6261,59.375,2.6400001,1,59.375,2.6400001
65.2311,90.625,3.3900001,1,90.625,3.3900001
56.8277,90.625,2.76,1,90.625,2.76
44.2227,93.75,2.3299999,0,0,0
42.1218,62.5,1.98,0,0,0
40.021,100,2.29,1,100,2.29
48.4244,96.875,3.02,0,0,0
42.1218,90.625,2.3299999,0,0,0
46.3235,84.375,2.54,0,0,0
52.6261,78.125,2.3900001,0,0,0
35.8193,96.875,2.4300001,0,0,0
65.2311,68.75,3.8800001,1,68.75,3.8800001
65.2311,84.375,2.5799999,1,84.375,2.5799999
61.0294,90.625,3.3599999,1,90.625,3.3599999
63.1303,100,3.02,1,100,3.02
42.1218,78.125,2.1199999,0,0,0
58.9286,93.75,2.3699999,0,0,0
52.6261,78.125,2.9300001,0,0,0
58.9286,84.375,2.02,1,84.375,2.02
50.5252,84.375,2.78,0,0,0
48.4244,71.875,2.8499999,1,71.875,2.8499999
54.7269,100,2.28,0,0,0
52.6261,96.875,3.46,0,0,0
44.2227,78.125,2.6300001,1,78.125,2.6300001
63.1303,56.25,2.1900001,0,0,0
63.1303,100,3.5699999,0,0,0
50.5252,96.875,1.98,0,0,0
35.8193,75,3.05,1,75,3.05
61.0294,96.875,3.45,1,96.875,3.45
61.0294,96.875,2.6300001,0,0,0
35.8193,100,2.6199999,1,100,2.6199999
46.3235,78.125,2.1300001,0,0,0
50.5252,96.875,2.4200001,0,0,0
67.3319,100,3.4300001,1,100,3.4300001
35.8193,93.75,2.3499999,0,0,0
46.3235,93.75,3.6099999,1,93.75,3.6099999
56.8277,93.75,2.8599999,1,93.75,2.8599999
