Y,X2,X1,DX1,D
140904.0061,27,289072.9205,0,0
136231.0837,28,271688.4922,0,0
150618.6392,33,255630.9187,0,0
130186.7034,29,240093.8138,0,0
149583.9844,36,208509.3503,0,0
137673.5827,32,217651.1474,0,0
149417.1656,32,256608.0247,0,0
126175.0748,27,248590.4672,0,0
99460.75692,21,237529.322,0,0
218488.6443,45,317225.2192,0,0
157176.1662,26,349570.3008,0,0
177044.4226,34,320974.58,0,0
142601.5675,32,241146.6391,0,0
158068.2596,30,311652.3913,0,0
139850.7001,29,270227.2759,0,0
166518.1479,37,252825.9114,0,0
170983.8393,36,272294.4175,0,0
131314.1457,22,324241.5732,0,0
186287.3714,42,248053.9771,0,0
183873.4066,39,278993.5716,0,0
153087.3726,31,279025.2849,0,0
167247.8048,32,310791.7519,0,0
142954.984,27,299362.248,0,0
219581.1218,48,283120.786,0,0
220130.1089,36,424429.2229,0,0
207792.6424,34,416752.6376,0,0
225516.4082,40,393825.519,0,0
217493.6245,44,324064.7197,0,0
124557.9126,30,205865.8428,0,0
148495.3596,32,257669.7089,0,0
127848.5735,28,239830.4218,0,0
146159.3695,36,202428.7555,0,0
161528.942,37,233765.8583,0,0
171971.857,37,273287.6697,0,0
117864.8585,24,255006.4534,0,0
133345.6434,28,253372.2803,0,0
152966.6379,31,277758.7245,0,0
204546.9619,39,346063.3817,0,0
164771.6218,35,265245.162,0,0
158196.7059,35,246569.5603,0,0
176661.7796,43,213946.9933,0,0
129856.4695,27,253851.0217,0,0
154740.664,32,276213.9074,0,0
169864.1017,35,281766.0216,0,0
156799.3947,31,295303.0152,0,0
171243.6342,33,313318.3074,0,0
200109.4646,37,352224.8449,0,0
158296.1349,29,327314.4167,0,0
198300.0207,44,268385.8393,0,0
172754.9426,33,321328.5936,0,0
175481.806,33,333166.1629,0,0
197953.4346,38,336719.8019,0,0
182723.8279,36,308985.8531,0,0
162634.53,39,172687.3212,172687.3212,1
195538.4352,39,216805.5131,216805.5131,1
171220.378,32,218508.2229,218508.2229,1
166875.0449,34,206140.9383,206140.9383,1
203763.091,31,265784.3272,265784.3272,1
194031.4343,41,206452.6164,206452.6164,1
169340.773,31,222101.942,222101.942,1
271952.7216,44,289999.0664,289999.0664,1
263476.231,37,314814.7241,314814.7241,1
180733.3792,33,228288.6498,228288.6498,1
222541.0442,29,301585.8263,301585.8263,1
232835.9616,39,264079.1377,264079.1377,1
232433.01,39,262862.4517,262862.4517,1
229709.1759,35,278994.4271,278994.4271,1
217200.1685,40,237154.801,237154.801,1
266013.709,38,312062.4667,312062.4667,1
311006.6225,42,347868.2419,347868.2419,1
264258.2068,37,312526.4841,312526.4841,1
353463.999,45,391374.0149,391374.0149,1
363162.5349,42,418243.7314,418243.7314,1
264756.0353,31,344147.1595,344147.1595,1
305346.1317,40,354536.3392,354536.3392,1
278236.1184,33,351288.9175,351288.9175,1
371729.7081,46,408479.374,408479.374,1
265056.837,38,312329.4395,312329.4395,1
178459.0625,28,248198.7796,248198.7796,1
220771.5318,31,288142.3203,288142.3203,1
223870.1113,36,266142.1591,266142.1591,1
258344.0589,43,278628.5988,278628.5988,1
206277.0538,37,237295.6196,237295.6196,1
234057.6363,43,247011.3569,247011.3569,1
214173.1085,41,227863.8886,227863.8886,1
171164.5466,28,240462.2529,240462.2529,1
192951.8285,28,269525.4495,269525.4495,1
254415.7008,40,289013.7536,289013.7536,1
254240.1404,39,291873.0243,291873.0243,1
177212.9673,28,247209.8782,247209.8782,1
292741.6857,41,332575.1734,332575.1734,1
301061.6934,47,311284.4569,311284.4569,1
268104.3858,34,336063.0687,336063.0687,1
310707.504,41,357096.9469,357096.9469,1
285700.5453,35,352677.4356,352677.4356,1
385229.8833,51,400011.8264,400011.8264,1
276527.5258,35,341416.7339,341416.7339,1
387890.5765,47,423268.7267,423268.7267,1
271037.2703,39,315416.1564,315416.1564,1
385261.0722,45,432896.5708,432896.5708,1
