id,salary,yearsdg,rank,gender,yearsdgrank,yearsdggender
1,6.1,2,0,0,0,0
2,3.1,0,0,0,0,0
3,3.58,1,0,0,0,0
4,4.16,9,0,0,0,0
5,3.7,3,0,0,0,0
6,3.37,4,0,0,0,0
7,3.09,7,0,0,0,0
8,4.37,21,0,0,0,0
9,3,3,0,0,0,0
10,5.52,2,0,0,0,0
11,3.37,1,0,0,0,0
12,3.53,7,0,0,0,0
13,4.1,13,0,0,0,0
14,3.45,3,0,0,0,0
15,4.05,5,0,0,0,0
16,4.01,4,0,0,0,0
17,4.05,3,0,0,0,0
18,5.6,1,0,0,0,0
19,2.95,6,0,0,0,0
20,3.47,2,0,0,0,0
21,3.53,6,0,0,0,0
22,3.32,4,0,0,0,0
23,2.9,6,0,0,0,0
24,3.68,5,0,0,0,0
25,4.42,21,0,0,0,0
26,4.1,3,0,0,0,0
27,5.8,1,0,0,0,0
28,5.51,3,0,0,0,0
29,3.6,6,0,0,0,0
30,6.1,1,0,0,0,0
31,3.86,4,0,0,0,0
32,3.42,5,0,0,0,0
33,3.74,3,0,0,0,0
34,4.8,3,0,0,0,0
35,3.8,4,0,0,0,0
36,3.74,6,0,0,0,0
37,4.63,3,0,0,0,0
38,3.63,1,0,0,0,0
39,4,4,0,0,0,0
40,3.47,9,0,0,0,0
41,6.1,2,0,0,0,0
42,5.91,4,0,0,0,0
43,3.9,4,0,0,0,0
44,6.02,18,0,0,0,0
45,4.26,2,0,0,0,0
46,5.81,5,0,0,0,0
47,3.2,6,0,0,0,0
48,3.47,2,0,0,0,0
49,3.52,3,0,0,0,0
50,3.2,3,0,0,0,0
51,3,23,0,0,0,0
52,4.42,15,0,0,0,0
53,3.7,3,0,0,0,0
54,3,7,0,0,0,0
55,3.89,8,0,0,0,0
56,4.1,7,0,0,0,0
57,3.4,2,0,0,0,0
58,5.5,0,0,0,0,0
59,4.82,14,0,0,0,0
60,3.58,3,0,0,0,0
61,3.79,6,0,0,0,0
62,3.53,2,0,0,0,0
63,3.89,4,0,0,0,0
64,3.84,15,0,0,0,0
65,3.63,5,0,0,0,0
66,4.21,4,0,0,0,0
67,6.21,3,0,0,0,0
68,5.63,8,0,0,0,0
69,5.3,0,0,0,0,0
70,3.98,1,0,0,0,0
71,4,1,0,0,0,0
72,3.37,3,0,0,0,0
73,3.37,2,0,0,0,0
74,4.05,9,0,0,0,0
75,6.04,5,0,0,0,0
76,3.37,10,0,0,0,0
77,5.52,2,0,0,0,0
78,4.63,2,0,0,0,0
79,4,4,0,0,0,0
80,4,5,0,0,0,0
81,4.55,0,0,0,0,0
82,4.84,3,0,0,0,0
83,3.37,5,0,0,0,0
84,4.3,12,0,0,0,0
85,4.56,23,0,0,0,0
86,6.32,22,0,0,0,0
87,4.82,18,0,0,0,0
88,6.32,6,0,0,0,0
89,5.47,21,0,0,0,0
90,4.43,30,0,0,0,0
91,3.7,14,0,0,0,0
92,5.31,13,0,0,0,0
93,5.3,13,0,0,0,0
94,5.6,15,0,0,0,0
95,3.72,12,0,0,0,0
96,5.63,17,0,0,0,0
97,4.05,9,0,0,0,0
98,5.2,22,0,0,0,0
99,3.4,10,0,0,0,0
100,4.45,11,0,0,0,0
101,4.85,19,0,0,0,0
102,4.93,22,0,0,0,0
103,4.1,26,0,0,0,0
104,6.15,15,0,0,0,0
105,4.48,8,0,0,0,0
106,3.98,9,0,0,0,0
107,5.3,34,0,0,0,0
108,4.58,13,0,0,0,0
109,5.89,10,0,0,0,0
110,6.2,11,0,0,0,0
111,5.78,11,0,0,0,0
112,3.99,11,0,0,0,0
113,3.75,5,0,0,0,0
114,4.89,10,0,0,0,0
115,4.36,8,0,0,0,0
116,4.42,23,0,0,0,0
117,4.81,22,0,0,0,0
118,7.05,11,0,0,0,0
119,3.88,8,0,0,0,0
120,4.11,17,0,0,0,0
121,5.42,18,0,0,0,0
122,4.97,11,0,0,0,0
123,4.66,18,0,0,0,0
124,3.57,11,0,0,0,0
125,3.83,6,0,0,0,0
126,6.07,13,0,0,0,0
127,4.21,7,0,0,0,0
128,4.33,15,0,0,0,0
129,4.84,9,0,0,0,0
130,3.6,11,0,0,0,0
131,4.47,8,0,0,0,0
132,4.65,15,0,0,0,0
133,4.24,17,0,0,0,0
134,4.45,21,0,0,0,0
135,3.49,8,0,0,0,0
136,3.79,4,0,0,0,0
137,4.45,15,0,0,0,0
138,4.98,17,0,0,0,0
139,4.78,14,0,0,0,0
140,5.35,13,0,0,0,0
141,4.11,9,0,0,0,0
142,3.92,8,0,0,0,0
143,3.9,9,0,0,0,0
144,4.44,24,0,0,0,0
145,4.76,15,0,0,0,0
146,4.14,11,0,0,0,0
147,4.06,10,0,0,0,0
148,7.11,21,0,0,0,0
149,4.85,23,0,0,0,0
150,4.16,7,0,0,0,0
151,5.21,24,0,0,0,0
152,5.25,17,0,0,0,0
153,6.14,6,0,0,0,0
154,6.29,18,0,0,0,0
155,5.21,28,0,0,0,0
156,4.09,10,0,0,0,0
157,4.26,9,0,0,0,0
158,4.85,25,0,0,0,0
159,7.33,23,0,0,0,0
160,5.81,21,0,0,0,0
161,5.08,16,0,0,0,0
162,4.17,8,0,0,0,0
163,5.52,9,0,0,0,0
164,3.98,27,0,0,0,0
165,4.81,11,0,0,0,0
166,5.96,17,0,0,0,0
167,4.7,7,0,0,0,0
168,6.52,10,0,0,0,0
169,5.56,26,0,0,0,0
170,5.34,6,0,0,0,0
171,4.15,6,0,0,0,0
172,4.25,12,0,0,0,0
173,5.89,4,0,0,0,0
